obama's ,5
half ,5
11 ,5
saw ,5
begin ,5
across ,5
ok, ,5
(inaudible) ,5
border. ,5
a.m. ,5
running ,5
isis, ,5
death ,5
reform ,5
legal ,5
power ,5
seconds ,5
stand ,5
cbs ,5
oh, ,5
mass ,5
program ,5
harry ,5
small ,5
iran ,5
situation ,5
pick ,5
family ,5
knows ,5
commander ,5
trade ,5
haven't ,5
hard ,5
carson ,5
grew ,5
understand, ,5
sometimes ,5
during ,5
threats ,5
rubio. ,5
political ,5
kurds ,5
real ,5
cut ,5
win ,5
(booing) ,5
assad ,5
35 ,5
presidents ,5
us. ,5
chief ,5
time, ,5
times ,5
exactly ,5
looked ,5
democrats ,5
candidates ,5
trump. ,5
wall ,5
against ,5
thought ,5
executive ,5
lost ,5
paying ,5
own ,5
this, ,5
problem ,5
stay ,5
up, ,4
carolina, ,4
expanded ,4
change. ,4
question... ,4
company. ,4
war, ,4
right, ,4
phone ,4
florida, ,4
wrong ,4
law ,4
parenthood. ,4
each ,4
abolishing ,4
days ,4
too ,4
strong. ,4
nominated ,4
wall. ,4
bad ,4
situation. ,4
w. ,4
planned ,4
now. ,4
you... ,4
justices ,4
obamacare ,4
brother. ,4
leave ,4
talked ,4
says ,4
learn ,4
address ,4
major, ,4
thousands ,4
greenville, ,4
watching ,4
on... ,4
man ,4
florida. ,4
record. ,4
policy ,4
happened ,4
increase ,4
growth, ,4
on, ,4
much. ,4
lie. ,4
scalia, ,4
hedge ,4
elected ,4
parking ,4
behind ,4
between ,4
liberal ,4
rebuild ,4
life, ,4
different ,4
week ,4
either ,4
leadership ,4
act ,4
syria. ,4
spirit ,4
perspective ,4
know? ,4
deal. ,4
debate. ,4
door ,4
nine ,4
help ,4
committee ,4
its ,4
ok. ,4
system. ,4
isn't ,4
house ,4
since ,4
mexico, ,4
feel ,4
family, ,4
$2 ,4
kind ,4
flexibility. ,4
common ,4
set ,4
years. ,4
last ,4
became ,4
else ,4
bill ,4
budget ,4
moment ,4
constitution. ,4
couple ,4
knock ,4
often ,4
absolutely ,4
example, ,4
anything ,4
clinton ,4
john, ,4
single ,4
i... ,4
capital ,4
led ,4
defeat ,4
reagan, ,4
allow ,4
move ,4
including ,4
80 ,4
time. ,4
supports ,4
weak ,4
trying ,4
hope ,4
policy, ,4
reid ,4
bought ,4
bit ,4
alright, ,4
respond. ,4
difficult ,4
tax. ,4
nation ,4
center ,4
well ,4
day ,4
ought ,4
sick ,4
mistake. ,4
leader ,4
biggest ,4
whether ,4
wish ,4
in, ,4
in. ,4
reform. ,3
child ,3
candidates, ,3
up. ,3
lord ,3
washington, ,3
today. ,3
companies ,3
leaders ,3
direct ,3
street ,3
china ,3
changed ,3
credit ,3
i'd ,3
changes ,3
gentleman, ,3
brought ,3
military, ,3
rights ,3
worse ,3
around. ,3
end ,3
amazing ,3
ordinary ,3
suggest ,3
then, ,3
iran. ,3
conditioners ,3
foundation ,3
love ,3
u.s. ,3
wanted ,3
go. ,3
senate, ,3
power, ,3
anybody ,3
seen ,3
responsible ,3
forces ,3
nobody ,3
principle ,3
saying ,3
judges ,3
nasty ,3
about. ,3
about, ,3
delay, ,3
situation, ,3
them. ,3
secretary ,3
hampshire, ,3
there's ,3
news ,3
candidate ,3
odds ,3
confronted ,3
money. ,3
trust ,3
speak ,3
seven ,3
confirmed ,3
evil ,3
kept ,3
office. ,3
east ,3
ago. ,3
fact, ,3
judge ,3
specific ,3
deal ,3
tonight, ,3
business. ,3
lied ,3
civil ,3
pays ,3
litmus ,3
negative ,3
what? ,3
balance. ,3
hear ,3
until ,3
test ,3
government, ,3
different. ,3
father ,3
solved ,3
iraq, ,3
iraq. ,3
added ,3
along ,3
change ,3
brilliant ,3
elect ,3
behalf ,3
making ,3
listen. ,3
remember ,3
year, ,3
year. ,3
name ,3
domain ,3
living ,3
earlier ,3
massive ,3
open ,3
legally ,3
future ,3
destroy ,3
paid ,3
considered ,3
clinton, ,3
defeating ,3
something, ,3
nuclear ,3
gulf ,3
scalia. ,3
cannot ,3
disparage ,3
parent ,3
doing. ,3
undermine ,3
want. ,3
save ,3
wants ,3
might ,3
life. ,3
alright. ,3
solve ,3
carolinians ,3
treatment ,3
tax, ,3
read ,3
action. ,3
all. ,3
nice ,3
thinks ,3
out. ,3
you? ,3
proposal ,3
again ,3
building ,3
calls ,3
wife ,3
month ,3
welfare ,3
talks ,3
kasich. ,3
difference ,3
border, ,3
him, ,3
policies ,3
vladimir ,3
(ph) ,3
plan, ,3
administration ,3
soon ,3
held ,3
course, ,3
fine. ,3
also, ,3
deals ,3
america. ,3
health ,3
mexico. ,3
leading ,3
done ,3
family. ,3
least ,3
first. ,3
bank ,3
democrats, ,3
supposed ,3
gall ,3
majority ,3
domain. ,3
yeah. ,3
weigh ,3
particularly ,3
$5 ,3
seconds, ,3
hit ,3
arm ,3
immigration. ,3
years, ,3
probably ,3
foreign ,3
whole ,3
there, ,3
described ,3
threaten ,3
success. ,3
fund ,3
income. ,3
voters ,3
rid ,3
person ,3
jobs, ,3
jobs. ,3
senate. ,3
we, ,3
ourselves ,3
russia, ,3
line ,3
cure ,3
politicians ,3
problems ,3
moon ,3
issues ,3
send ,3
issues. ,3
entire ,3
car ,3
safe, ,3
amnesty. ,3
taxes. ,3
few ,3
hard. ,3
closing ,3
high ,3
carrier ,3
reagan. ,3
gone. ,3
lines ,3
happen, ,3
interpreted ,3
2016 ,3
truth ,3
families. ,3
society. ,3
regulatory ,3
additional ,3
allies ,3
carson. ,3
tonight ,3
border ,3
unless ,3
very, ,3
vacancy ,3
mean, ,3
means ,3
talking. ,3
are. ,3
control. ,3
europe ,3
favor ,3
decline. ,3
passing ,3
abortion. ,3
of. ,3
member ,3
speaker ,3
disagree ,3
justices. ,3
room. ,3
moment. ,3
immediately ,3
lose ,3
become ,3
amendment ,3
poverty. ,3
rubio-schumer ,3
garret: ,3
chance ,3
stakes ,3
court, ,3
court. ,3
assess ,3
crashed. ,3
conservative, ,3
children. ,3
44 ,3
again, ,3
yes. ,3
percent. ,3
reform, ,2
9/11 ,2
sorry ,2
solution ,2
tired ,2
donald, ,2
estimated ,2
contributed ,2
liberty ,2
told ,2
path ,2
aren't ,2
106 ,2
company, ,2
over. ,2
working. ,2
century ,2
wars ,2
hole ,2
off, ,2
off. ,2
containment ,2
provide ,2
win. ,2
answer ,2
replacing ,2
third ,2
green ,2
east, ,2
democratic ,2
school, ,2
